Brand,Size,Resolution,Selling Price,RRP,Model,Smart
Pensonic,24,HD,399,439,PEN-PLED2410,No
Pensonic,32,HD,579,599,PEN-PLED3211T,No
Philips,32,HD,699,799,PLP-32PHT4002,No
Toshiba,32,HD,729,980,TSB-32L3750,No
Haier,32,HD,749,889,LE32K6000T,No
Skyworth,40,HD,899,999,SKY-40E2A11T,No
Sharp,40,HD,899,1349,LC40SA5100M,No
Pensonic,43,HD,949,1159,PEN-PLED4311T,No
Skyworth,32,HD,959,1149,SKY-32E6A,No
Philips,40,HD,988,1099,PLP-40PFT4022S,No
Sony,32,HD,989,1036,SNY-KDL32R300E,No
LG,32,HD,1036,1036,LG-32LK500B,No
Samsung,40,Full HD,1099,1602,UA40N5000AKXXM,No
Hisense,43,HD,1099,1399,HSE-43A5100TS,Yes
Skyworth,43,HD,1099,1319,SKY-43E2A11T,No
Philips,43,Full HD,1149,1499,PLP-43PFT4002,No
Panasonic,40,HD,1199,1602,PSN-TH40F400K,No
Skyworth,40,HD,1249,1439,SKY-40E6A,Yes
Sony,40,Full HD,1299,1444,SNY-KDL40R350E,No
Sharp,45,Full HD,1299,1789,2TC45AD1X,No
Panasonic,43,Full HD,1349,1935,TH-43E410K,No
Skyworth,49,HD,1399,1659,SKY-49E2A11T,No
Toshiba,43,HD,1399,1645,TSB-43L5650,No
Skyworth,43,HD,1449,1659,SKY-43E6A,Yes
Sony,40,Full HD,1549,1885,SNY-KDL40W650D,No
Hisense,49,HD,1599,1899,49A5700PW,Yes
Samsung,49,Full HD,1599,1899,UA49N5000AKXXM,No
Sony,43,UHD,1599,2199,KD-43X7000F,Yes
Philips,50,UHD,1788,2829,PLP-50PUT6002,Yes
LG,49,HD,2263,2263,LG-49LK5100,No
LG,49,Full HD,2546,2546,LG-49LK5400,Yes
Sony,55,UHD,2999,3259,KD-55X7500F,Yes
Sony,65,UHD,4359,4699,SNY-KD65X7500F,Yes
Sony,65,UHD,6299,6699,KD-65X8500F,Yes
Sony,75,UHD,8999,9799,KD75X8500F,Yes
Sharp,40,Full HD,999,1399,LC40SA5200X,No
Sharp,45,UHD,1688,2539,LC45UA6500X,Yes
Hisense,50,UHD,1799,2399,50A6100UW,No
Haier,50,UHD,1885,2829,LE50U6600U,Yes
Sony,49,UHD,1899,2459,KD-49X7000F,No
Sharp,50,UHD,1999,2499,4TC50AH1X,Yes
Sharp,45,UHD,1999,2999,LC45UA6800X,Yes
Skyworth,50,UHD,2199,2399,SKY-50G2,Yes
Hisense,55,UHD,2199,2699,55A6100UW,Yes
Samsung,43,UHD,2229,2299,UA43RU7100,Yes
Toshiba,55,UHD,2299,3899,55U4750VM,Yes
Hisense,50,UHD,2299,2599,50A6501UW,No
LG,50,UHD,2399,3300,LG-50UK6500,No
Sony,49,UHD,2399,2700,KD-49X7500F,No
Sharp,50,UHD,2499,3866,SHP-LC50UA6800X,Yes
Skyworth,55,UHD,2499,3599,SKY-55G2,Yes
LG,55,UHD,2599,3961,55UK6320PTE,Yes
Samsung,50,UHD,2719,2799,UA50RU7100,Yes
Panasonic,55,UHD,2799,4479,TH-55FX600K,Yes
Samsung,50,UHD,2999,3099,UA50Ru7400,Yes
Toshiba,55,UHD,2999,4299,TSB-55U7750VM,Yes
Sharp,60,UHD,2999,4239,LC60UA6500X,Yes
Samsung,55,UHD,3199,3299,UA55RU7100,Yes
Sharp,60,UHD,3399,4699,LC60UA6800X,Yes
Samsung,55,UHD,3599,3699,UA55RU7400,Yes
LG,65,UHD,3669,6131,65UK6320PTE,Yes
Skyworth,65,UHD,3699,4499,SKY-65Q3C,Yes
Samsung,65,UHD,3699,4599,UA65NU7100KXXM,Yes
Samsung,65,UHD,3999,4999,UA65NU7300KXXM,Yes
Sony,55,UHD,4399,5399,SNY-KD55X8500F,Yes
Samsung,55,UHD,4849,4999,UA55RU8000,Yes
Samsung,65,UHD,4849,4999,UA65RU7100,Yes
Samsung,65,UHD,5349,5499,UA65RU7400,Yes
Toshiba,65,UHD,6399,9999,TSB-65U9750VM,Yes
Sharp,70,UHD,6999,9999,4TC70AL1X,Yes
Sony,55,OLED,7299,7850,SNY-KD55A8,Yes
Skyworth,75,UHD,7299,15999,SKY-75G6B,Yes
Samsung,65,UHD,7749,7999,UA65RU8000,Yes
LG,75,UHD,7999,12999,75UK6500,Yes
Samsung,75,UHD,9699,9999,UA75RU7100,Yes
Panasonic,75,UHD,9799,15093,TH-75FX750K,Yes
Sony,65,UHD,10799,11659,KD-65A8F,Yes
Panasonic,55,OLED,7999,10999,TH-55FZ950K,Yes
Panasonic,65,OLED,11999,15999,TH-65FZ950K,Yes
Skyworth,65,OLED,12999,19999,SKY-65XA9000,Yes
Samsung,55,QLED,5599,6499,QA55Q60RA,Yes
Samsung,55,QLED,7799,7999,QA55Q75RA,Yes
Samsung,65,QLED,8049,8999,QA65Q60RA,Yes
Samsung,75,QLED,12249,13999,QA75Q60RA,Yes
Samsung,65,QLED,13599,13999,QA65Q75RA,Yes
Samsung,82,QLED,16399,19999,QA82Q60RA,Yes
Samsung,65,QLED,18499,18999,QA65Q90RA,Yes
Samsung,75,QLED,19399,19999,QA75Q75RA,Yes
Samsung,75,QLED,28999,29999,QA75Q90RA,Yes
Sony,55,ULED,2599,2959,KD-55X70000F,Yes
Hisense,55,ULED,2599,2999,A6501,Yes
Sony,65,ULED,3999,4350,KD-65X7000F,Yes
Sony,85,ULED,18199,19559,SNY-KD85X9000F,Yes
Hisense,65,ULED,3899,4999,A6501,Yes
